feature,null_count,null_fraction
BASEMENTAREA_MEDI,179943,0.5851595552679416
BASEMENTAREA_MODE,179943,0.5851595552679416
EXT_SOURCE_1,173378,0.5638107254699832
NONLIVINGAREA_AVG,169682,0.5517916432257708
NONLIVINGAREA_MEDI,169682,0.5517916432257708
NONLIVINGAREA_MODE,169682,0.5517916432257708
ELEVATORS_AVG,163891,0.532959796560123
ELEVATORS_MEDI,163891,0.532959796560123
ELEVATORS_MODE,163891,0.532959796560123
WALLSMATERIAL_MODE,156341,0.508407829313423
APARTMENTS_AVG,156061,0.5074972927797705
APARTMENTS_MEDI,156061,0.5074972927797705
APARTMENTS_MODE,156061,0.5074972927797705
ENTRANCES_AVG,154828,0.503487680115508
ENTRANCES_MEDI,154828,0.503487680115508
ENTRANCES_MODE,154828,0.503487680115508
LIVINGAREA_AVG,154350,0.5019332641759157
LIVINGAREA_MEDI,154350,0.5019332641759157
LIVINGAREA_MODE,154350,0.5019332641759157
HOUSETYPE_MODE,154297,0.50176091261776
FLOORSMAX_AVG,153020,0.4976082156410665
FLOORSMAX_MEDI,153020,0.4976082156410665
FLOORSMAX_MODE,153020,0.4976082156410665
YEARS_BEGINEXPLUATATION_AVG,150007,0.48781019215572774
YEARS_BEGINEXPLUATATION_MEDI,150007,0.48781019215572774
YEARS_BEGINEXPLUATATION_MODE,150007,0.48781019215572774
TOTALAREA_MODE,148431,0.4826851722377411
EMERGENCYSTATE_MODE,145755,0.47398304450897694
BUREAU_MAX_OVERDUE,123625,0.4020181391885168
OCCUPATION_TYPE,96391,0.31345545362604915
EXT_SOURCE_3,60965,0.19825307062186392
APP_EMPLOYED_AGE_RATIO,55374,0.18007160719453938
DAYS_EMPLOYED,55374,0.18007160719453938
BUREAU_DEBT_CREDIT_RATIO_MEAN,52635,0.1711646087457034
BUREAU_TOTAL_DEBT_CREDIT_RATIO,45104,0.14667442790664398
BUREAU_CREDIT_SUM_MEAN,44022,0.14315585458731558
BUREAU_ACTIVE_COUNT,44021,0.14315260267112395
BUREAU_ACTIVE_SHARE,44021,0.14315260267112395
BUREAU_CLOSED_COUNT,44021,0.14315260267112395
BUREAU_CREDIT_SUM_TOTAL,44021,0.14315260267112395
BUREAU_DAYS_CREDIT_MOST_RECENT,44021,0.14315260267112395
BUREAU_DAYS_CREDIT_OLDEST,44021,0.14315260267112395
BUREAU_DAYS_OVERDUE_MAX,44021,0.14315260267112395
BUREAU_DEBT_TOTAL,44021,0.14315260267112395
BUREAU_OVERDUE_ACCOUNT_COUNT,44021,0.14315260267112395
BUREAU_OVERDUE_TOTAL,44021,0.14315260267112395
BUREAU_PROLONG_TOTAL,44021,0.14315260267112395
BUREAU_RECORD_COUNT,44021,0.14315260267112395
AMT_REQ_CREDIT_BUREAU_DAY,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_HOUR,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_MON,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_QRT,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_WEEK,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_YEAR,41519,0.13501630835970097
PREV_DOWN_PAYMENT_MEAN,33906,0.11025947039292903
POS_REMAINING_SHARE,20576,0.06691142755868895
POS_DELINQUENCY_RATE,20544,0.06680736624055725
POS_DELINQUENT_COUNT,20544,0.06680736624055725
POS_DPD_DEF_MAX,20544,0.06680736624055725
POS_DPD_MAX,20544,0.06680736624055725
POS_DPD_MEAN,20544,0.06680736624055725
POS_DPD_SUM,20544,0.06680736624055725
POS_LATEST_MONTH,20544,0.06680736624055725
POS_MONTH_COUNT,20544,0.06680736624055725
POS_REMAINING_SUM,20544,0.06680736624055725
POS_TERM_SUM,20544,0.06680736624055725
INST_PAYMENT_RATIO,18115,0.058908461811122206
INST_DPD_MAX,18113,0.05890195797873897
INST_DPD_MEAN,18113,0.05890195797873897
INST_DPD_SUM,18113,0.05890195797873897
INST_DUE_TOTAL,18113,0.05890195797873897
INST_LATEST_PAYMENT_DAY,18113,0.05890195797873897
INST_LATE_COUNT,18113,0.05890195797873897
INST_LATE_RATE,18113,0.05890195797873897
INST_PAYMENT_TOTAL,18113,0.05890195797873897
INST_RECORD_COUNT,18113,0.05890195797873897
INST_SHORTFALL_SUM,18113,0.05890195797873897
INST_UNDERPAID_COUNT,18113,0.05890195797873897
INST_UNDERPAID_RATE,18113,0.05890195797873897
PREV_GRANTED_REQUESTED_RATIO_MEAN,17469,0.056807723951338325
PREV_AMT_ANNUITY_MEAN,16871,0.054863078068752014
PREV_TERM_MEAN,16869,0.05485657423636878
PREV_ACCEPTED_COUNT,16454,0.05350702901684818
PREV_ACCEPTED_RATE,16454,0.05350702901684818
PREV_AMT_APPLICATION_MEAN,16454,0.05350702901684818
PREV_AMT_CREDIT_MEAN,16454,0.05350702901684818
PREV_APPLICATION_COUNT,16454,0.05350702901684818
PREV_CANCELLED_COUNT,16454,0.05350702901684818
PREV_CANCELLED_RATE,16454,0.05350702901684818
PREV_DAYS_DECISION_OLDEST,16454,0.05350702901684818
PREV_DAYS_DECISION_RECENT,16454,0.05350702901684818
PREV_REFUSED_COUNT,16454,0.05350702901684818
PREV_REFUSED_RATE,16454,0.05350702901684818
NAME_TYPE_SUITE,1292,0.004201475719567756
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
EXT_SOURCE_2,660,0.0021462646864665006
AMT_GOODS_PRICE,278,0.0009040327012692228
APP_GOODS_CREDIT_RATIO,278,0.0009040327012692228
AMT_ANNUITY,12,3.9022994299390916e-05
APP_ANNUITY_INCOME_RATIO,12,3.9022994299390916e-05
APP_CREDIT_ANNUITY_RATIO,12,3.9022994299390916e-05
APP_INCOME_PER_PERSON,2,6.503832383231819e-06
CNT_FAM_MEMBERS,2,6.503832383231819e-06
DAYS_LAST_PHONE_CHANGE,1,3.2519161916159095e-06
AMT_CREDIT,0,0.0
AMT_INCOME_TOTAL,0,0.0
APP_CREDIT_INCOME_RATIO,0,0.0
CNT_CHILDREN,0,0.0
CODE_GENDER,0,0.0
DAYS_BIRTH,0,0.0
DAYS_ID_PUBLISH,0,0.0
DAYS_REGISTRATION,0,0.0
FLAG_CONT_MOBILE,0,0.0
FLAG_DOCUMENT_10,0,0.0
FLAG_DOCUMENT_11,0,0.0
FLAG_DOCUMENT_12,0,0.0
FLAG_DOCUMENT_13,0,0.0
FLAG_DOCUMENT_14,0,0.0
FLAG_DOCUMENT_15,0,0.0
FLAG_DOCUMENT_16,0,0.0
FLAG_DOCUMENT_17,0,0.0
FLAG_DOCUMENT_18,0,0.0
FLAG_DOCUMENT_19,0,0.0
FLAG_DOCUMENT_2,0,0.0
FLAG_DOCUMENT_20,0,0.0
FLAG_DOCUMENT_21,0,0.0
FLAG_DOCUMENT_3,0,0.0
FLAG_DOCUMENT_4,0,0.0
FLAG_DOCUMENT_5,0,0.0
FLAG_DOCUMENT_6,0,0.0
FLAG_DOCUMENT_7,0,0.0
FLAG_DOCUMENT_8,0,0.0
FLAG_DOCUMENT_9,0,0.0
FLAG_EMAIL,0,0.0
FLAG_EMP_PHONE,0,0.0
FLAG_MOBIL,0,0.0
FLAG_OWN_CAR,0,0.0
FLAG_OWN_REALTY,0,0.0
FLAG_PHONE,0,0.0
FLAG_WORK_PHONE,0,0.0
HOUR_APPR_PROCESS_START,0,0.0
LIVE_CITY_NOT_WORK_CITY,0,0.0
LIVE_REGION_NOT_WORK_REGION,0,0.0
NAME_CONTRACT_TYPE,0,0.0
NAME_EDUCATION_TYPE,0,0.0
NAME_FAMILY_STATUS,0,0.0
NAME_HOUSING_TYPE,0,0.0
NAME_INCOME_TYPE,0,0.0
ORGANIZATION_TYPE,0,0.0
REGION_POPULATION_RELATIVE,0,0.0
REGION_RATING_CLIENT,0,0.0
REGION_RATING_CLIENT_W_CITY,0,0.0
REG_CITY_NOT_LIVE_CITY,0,0.0
REG_CITY_NOT_WORK_CITY,0,0.0
REG_REGION_NOT_LIVE_REGION,0,0.0
REG_REGION_NOT_WORK_REGION,0,0.0
SK_ID_CURR,0,0.0
TARGET,0,0.0
WEEKDAY_APPR_PROCESS_START,0,0.0
